Dataset,Strategy,Scenario,Parameters,Modified_Traces,Fitness,Precision,Generalization,Simplicity,Tolerance
fineExp,BASELINE,original,,0,0.9274,0.7797,0.9516,0.6279,0
fineExp,REPAIR,A2_top,top_2,79507,0.9643,0.7259,0.9492,0.6279,1 -- prendo solo la seconda anomalia sub178
fineExp,REPAIR,A2_top,top_1,7277,0.9256,0.7828,0.9844,0.6279,1
fineExp,REPAIR,A2_top,top_1,79217,0.9186,0.6364,0.974,0.6279,2
fineExp,REPAIR,A2_bottom,bottom_10,873,0.9271,0.7632,0.9836,0.6279,1
fineExp,REPAIR,A1,all,127208,0.5585,0.7082,0.7653,0.6279,1
fineExp,REPAIR,A1,all,3385,0.9258,0.6721,0.987,0.6279,0
fineExp,REPAIR,B2_bottleneck,bottleneck_top_3,3352,0.9288,0.7369,0.9855,0.6279,0
fineExp_repair_A2_top_top_1_tolerance_1,BASELINE,original,,0,0.9278,0.7173,0.9839,0.6279,0
fineExp_repair_A2_top_top_1_tolerance_1,REPAIR,A2_top,top_1,79079,0.9278,0.7166,0.9839,0.6279,1
fineExp_repair_A2_top_top_1_tolerance_1,REPAIR,A2_top,top_1,0,0.9278,0.7198,0.9839,0.6279,0
fineExp_repair_A2_top_top_1_tolerance_1,REPAIR,A2_top,top_2,32,0.9278,0.7192,0.9839,0.6279,0
fineExp_repair_A2_top_top_1_tolerance_1,REPAIR,A2_top,top_2,79507,0.964,0.7047,0.9454,0.6279,1 -- prendo solo la seconda anomalia sub178
