Step,Anomaly_ID,Cumulative_Traces_Modified,Frequency,GED,Fitness,Precision,Generalization,Simplicity
0,BASELINE,0,-,-,0.964,0.4791,0.88,0.6238
1,Sub22,905,905,1.0,0.8788,0.4556,0.8599,0.6238
2,Sub14,1406,501,1.0,0.8524,0.4409,0.8605,0.6238
3,Sub16,1587,490,1.0,0.853,0.4437,0.8604,0.6238
4,Sub9,1862,318,1.0,0.854,0.4425,0.8597,0.6238
5,Sub72,2205,308,1.0,0.8459,0.4369,0.8593,0.6238
6,Sub222,2209,295,2.0,0.8459,0.4369,0.8593,0.6238
7,Sub7,2468,206,2.0,0.8459,0.4428,0.8593,0.6238
8,Sub42,2652,184,1.0,0.8459,0.4462,0.8595,0.6238
9,Sub106,2736,166,1.0,0.8462,0.449,0.8589,0.6238
10,Sub31,2910,157,1.0,0.8462,0.4501,0.8589,0.6238
11,Sub80,3054,135,1.0,0.8462,0.4501,0.8596,0.6238
12,Sub62,3182,129,1.0,0.8462,0.4523,0.8596,0.6238
13,Sub512,3183,100,1.0,0.8462,0.4525,0.8596,0.6238
14,Sub60,3209,87,1.0,0.8462,0.4515,0.8596,0.6238
15,Sub39,3262,74,1.0,0.8472,0.4494,0.8596,0.6238
16,Sub35,3324,62,1.0,0.8509,0.4509,0.8601,0.6238
17,Sub183,3324,61,1.0,0.8509,0.4512,0.8601,0.6238
18,Sub149,3324,57,1.0,0.8509,0.4534,0.8601,0.6238
19,Sub219,3449,48,1.0,0.8362,0.4303,0.8991,0.6238
20,Sub518,3449,44,5.0,0.8362,0.4302,0.8991,0.6238
21,Sub212,3449,41,2.0,0.8362,0.4348,0.8991,0.6238
22,Sub500,3449,39,1.0,0.8362,0.435,0.8991,0.6238
23,Sub52,3503,37,1.0,0.8362,0.4407,0.8991,0.6238
24,Sub120,3507,37,1.0,0.8362,0.439,0.8991,0.6238
25,Sub148,3564,36,1.0,0.8362,0.4323,0.8994,0.6238
26,Sub513,3570,28,2.0,0.8362,0.4307,0.8994,0.6238
27,Sub353,3570,27,1.0,0.8362,0.4297,0.8994,0.6238
28,Sub261,3570,23,2.0,0.8362,0.4352,0.8994,0.6238
29,Sub507,3578,22,2.0,0.8362,0.4319,0.8994,0.6238
30,Sub312,3578,20,1.0,0.8362,0.4342,0.8994,0.6238
31,Sub265,3578,19,1.0,0.8362,0.4366,0.8994,0.6238
32,Sub257,3578,18,2.0,0.8362,0.4326,0.8994,0.6238
33,Sub94,3578,14,1.0,0.8362,0.4356,0.8994,0.6238
34,Sub327,3626,14,1.0,0.8362,0.4389,0.8991,0.6238
35,Sub925,3633,14,2.0,0.8361,0.4449,0.9006,0.6238
36,Sub281,3633,13,1.0,0.8361,0.4465,0.9006,0.6238
37,Sub341,3702,13,1.0,0.8361,0.4443,0.9,0.6238
38,Sub938,3702,13,2.0,0.8361,0.4462,0.9,0.6238
39,Sub549,3702,11,2.0,0.8361,0.446,0.9,0.6238
40,Sub123,3721,10,1.0,0.8351,0.4436,0.9001,0.6238
41,Sub961,3721,10,1.0,0.8351,0.446,0.9001,0.6238
42,Sub131,3721,9,1.0,0.8351,0.4442,0.9001,0.6238
43,Sub331,3721,8,2.0,0.8351,0.4462,0.9001,0.6238
44,Sub948,3721,8,1.0,0.8351,0.4448,0.9001,0.6238
45,Sub166,3726,7,1.0,0.8351,0.4457,0.9001,0.6238
46,Sub405,3726,7,1.0,0.8351,0.4448,0.9001,0.6238
47,Sub435,3726,7,1.0,0.8351,0.4483,0.9001,0.6238
48,Sub954,3726,7,4.0,0.8351,0.4514,0.9001,0.6238
49,Sub465,3726,6,2.0,0.8351,0.4461,0.9001,0.6238
50,Sub918,3726,6,4.0,0.8351,0.4494,0.9001,0.6238
51,Sub143,3726,5,1.0,0.8351,0.4445,0.9001,0.6238
52,Sub308,3726,4,1.0,0.8351,0.4442,0.9001,0.6238
53,Sub499,3726,4,1.0,0.8351,0.4451,0.9001,0.6238
54,Sub392,3726,3,1.0,0.8351,0.4507,0.9001,0.6238
55,Sub403,3726,3,1.0,0.8351,0.4456,0.9001,0.6238
56,Sub264,3756,2,2.0,0.8352,0.4519,0.9002,0.6238
57,Sub322,3756,2,2.0,0.8352,0.4477,0.9002,0.6238
58,Sub395,3756,2,1.0,0.8352,0.4449,0.9002,0.6238
59,Sub947,3756,1,1.0,0.8352,0.4448,0.9002,0.6238
60,Sub953,3756,1,1.0,0.8352,0.4452,0.9002,0.6238
