Step,Anomaly_ID,Cumulative_Traces_Modified,Frequency,GED,Fitness,Precision,Generalization,Simplicity,Tolerance
0,BASELINE,0,-,-,0.9274,0.7787,0.9516,0.6279,0
1,Sub19,6913,2772,1.0,0.9256,0.781,0.9844,0.6279,1
2,Sub178,9683,2732,1.0,0.9286,0.7858,0.9841,0.6279,1
3,Sub28,10028,296,2.0,0.9283,0.7838,0.9845,0.6279,1
4,Sub58,10633,283,1.0,0.9283,0.7487,0.9844,0.6279,1
5,Sub5,10793,120,2.0,0.9284,0.7165,0.9844,0.6279,1
6,Sub7,10838,39,2.0,0.9284,0.7121,0.9845,0.6279,1
7,Sub56,10872,34,1.0,0.9284,0.7119,0.9845,0.6279,1
8,Sub62,10907,28,2.0,0.9284,0.7079,0.9845,0.6279,1
9,Sub14,10909,25,2.0,0.9284,0.7064,0.9845,0.6279,1
10,Sub24,11159,15,3.0,0.9284,0.7005,0.9841,0.6279,1
11,Sub100,11161,15,2.0,0.9284,0.6978,0.9841,0.6279,1
12,Sub71,11206,13,1.0,0.9284,0.7208,0.9836,0.6279,1
13,Sub33,11237,9,1.0,0.9284,0.7214,0.9836,0.6279,1
14,Sub30,11244,7,2.0,0.9284,0.7124,0.9836,0.6279,1
15,Sub54,11244,6,1.0,0.9284,0.7102,0.9836,0.6279,1
16,Sub59,14533,6,1.0,0.9282,0.6949,0.9514,0.6279,1
17,Sub113,86245,5,1.0,0.9278,0.6479,0.95,0.6279,1
18,Sub64,86249,4,1.0,0.9278,0.6518,0.95,0.6279,1
19,Sub88,86254,4,2.0,0.9278,0.6558,0.95,0.6279,1
20,Sub50,86255,3,1.0,0.9278,0.6575,0.95,0.6279,1
21,Sub80,86271,3,1.0,0.9278,0.6562,0.95,0.6279,1
22,Sub81,86271,3,3.0,0.9278,0.658,0.95,0.6279,1
23,Sub63,86271,2,2.0,0.9278,0.6596,0.95,0.6279,1
24,Sub84,86271,2,1.0,0.9278,0.6557,0.95,0.6279,1
25,Sub85,86285,2,1.0,0.9278,0.6594,0.9502,0.6279,1
26,Sub103,86285,2,1.0,0.9278,0.6644,0.9502,0.6279,1
27,Sub114,86285,2,1.0,0.9278,0.655,0.9502,0.6279,1
28,Sub145,86287,1,2.0,0.9278,0.6607,0.9501,0.6279,1
29,Sub174,86360,1,2.0,0.9279,0.65,0.9501,0.6279,1
30,Sub176,86360,1,3.0,0.9279,0.6519,0.9501,0.6279,1
31,Sub179,86360,1,2.0,0.9279,0.6476,0.9501,0.6279,1
32,Sub180,86360,1,2.0,0.9279,0.6511,0.9501,0.6279,1
