Step,Anomaly_ID,Cumulative_Traces_Modified,Frequency,GED,Fitness,Precision,Generalization,Simplicity,Tolerance
0,BASELINE,0,-,-,0.9274,0.7793,0.9516,0.6279,0
1,Sub19,6913,2772,1.0,0.9256,0.7806,0.9844,0.6279,1
2,Sub178,9683,2732,1.0,0.9286,0.785,0.9841,0.6279,1
3,Sub58,10283,283,1.0,0.9284,0.7511,0.9841,0.6279,1
4,Sub56,10317,34,1.0,0.9284,0.745,0.9842,0.6279,1
5,Sub71,10363,13,1.0,0.9283,0.7532,0.9837,0.6279,1
6,Sub33,10389,9,1.0,0.9283,0.7511,0.9837,0.6279,1
7,Sub54,10389,6,1.0,0.9283,0.746,0.9837,0.6279,1
8,Sub59,13204,6,1.0,0.9282,0.7208,0.9516,0.6279,1
9,Sub113,84925,5,1.0,0.9279,0.6911,0.9505,0.6279,1
10,Sub64,84929,4,1.0,0.9279,0.6783,0.9505,0.6279,1
11,Sub50,84930,3,1.0,0.9279,0.6924,0.9505,0.6279,1
12,Sub80,84979,3,1.0,0.9279,0.6791,0.9742,0.6279,1
13,Sub84,84979,2,1.0,0.9279,0.6751,0.9742,0.6279,1
14,Sub85,84993,2,1.0,0.9279,0.7109,0.9743,0.6279,1
15,Sub103,84993,2,1.0,0.9279,0.6876,0.9743,0.6279,1
16,Sub114,84999,2,1.0,0.9279,0.6805,0.9743,0.6279,1
