Dataset,Mode,Anomaly_ID,Trace_ID,Fitness_Pre,Fitness_Post,Delta,Outcome
sepsis,ISOLATED,Sub22,A,0.6207,0.6207,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,J,0.6667,0.6111,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,VC,0.6500,0.6000,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,MLA,0.8333,0.7500,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,NLA,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,OLA,0.6842,0.6316,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,PLA,0.7188,0.6875,-0.0312,WORSENED
sepsis,ISOLATED,Sub22,RLA,0.6897,0.6552,-0.0345,WORSENED
sepsis,ISOLATED,Sub22,SLA,0.7097,0.6774,-0.0323,WORSENED
sepsis,ISOLATED,Sub22,TLA,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,VLA,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,WC,0.7368,0.6842,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,WLA,0.8095,0.7619,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,XLA,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,YLA,0.6324,0.6176,-0.0147,WORSENED
sepsis,ISOLATED,Sub22,ZLA,0.7778,0.7222,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,AMA,0.7500,0.6875,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,BMA,0.6842,0.6316,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,CMA,0.8000,0.7333,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,DMA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,EMA,0.7500,0.7083,-0.0417,WORSENED
sepsis,ISOLATED,Sub22,FMA,0.6500,0.6500,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,XC,0.7333,0.6667,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,GMA,0.7500,0.7000,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,HMA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,KMA,0.5926,0.5926,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,LMA,0.8462,0.7692,-0.0769,WORSENED
sepsis,ISOLATED,Sub22,NMA,0.6786,0.6429,-0.0357,WORSENED
sepsis,ISOLATED,Sub22,PMA,0.6190,0.5714,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,QMA,0.6400,0.6400,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,SMA,0.7391,0.6957,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,TMA,0.7059,0.7059,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,UMA,0.6190,0.5714,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,VMA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,WMA,0.8333,0.7500,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,XMA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,YMA,0.8235,0.7647,-0.0588,WORSENED
sepsis,ISOLATED,Sub22,ZMA,0.6712,0.6575,-0.0137,WORSENED
sepsis,ISOLATED,Sub22,ANA,0.7500,0.6875,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,ZC,0.5882,0.5882,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,BNA,0.8571,0.7857,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,CNA,0.7500,0.7083,-0.0417,WORSENED
sepsis,ISOLATED,Sub22,DNA,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,ENA,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,FNA,0.7500,0.6875,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,GNA,0.5625,0.5625,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,HNA,0.6216,0.5946,-0.0270,WORSENED
sepsis,ISOLATED,Sub22,INA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,JNA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,KNA,0.6364,0.5909,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,AD,0.6667,0.6389,-0.0278,WORSENED
sepsis,ISOLATED,Sub22,LNA,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,CD,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,DD,0.8000,0.7333,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,ED,0.5750,0.5500,-0.0250,WORSENED
sepsis,ISOLATED,Sub22,K,0.7826,0.7391,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,FD,0.7778,0.7222,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,GD,0.6667,0.6190,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,ID,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,JD,0.6190,0.6190,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,LD,0.6667,0.6667,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,ND,0.7391,0.6957,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,OD,0.5120,0.5120,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,L,0.6364,0.5909,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,PD,0.6875,0.6875,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,QD,0.7368,0.6842,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,RD,0.7143,0.6429,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,TD,0.6522,0.6087,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,UD,0.6842,0.6579,-0.0263,WORSENED
sepsis,ISOLATED,Sub22,VD,0.5556,0.5556,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,WD,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,XD,0.7059,0.7059,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,YD,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,M,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,ZD,0.8571,0.7857,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,AE,0.6800,0.6400,-0.0400,WORSENED
sepsis,ISOLATED,Sub22,BE,0.7727,0.7273,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,CE,0.6111,0.5556,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,DE,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,EE,0.7857,0.7143,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,GE,0.6364,0.5909,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,HE,0.5833,0.5417,-0.0417,WORSENED
sepsis,ISOLATED,Sub22,IE,0.7857,0.7143,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,N,0.7895,0.7368,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,JE,0.6957,0.6522,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,KE,0.6957,0.6522,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,LE,0.6842,0.6316,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,NE,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,OE,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,PE,0.7333,0.7333,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,QE,0.7500,0.7143,-0.0357,WORSENED
sepsis,ISOLATED,Sub22,RE,0.7333,0.7333,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,SE,0.7059,0.7059,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,O,0.7778,0.7778,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,UE,0.6923,0.6538,-0.0385,WORSENED
sepsis,ISOLATED,Sub22,VE,0.6538,0.6154,-0.0385,WORSENED
sepsis,ISOLATED,Sub22,XE,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,YE,0.6000,0.5500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,ZE,0.6087,0.5652,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,AF,0.7083,0.7083,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,BF,0.7000,0.6500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,CF,0.7647,0.7353,-0.0294,WORSENED
sepsis,ISOLATED,Sub22,P,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,EF,0.6667,0.6190,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,FF,0.7333,0.6667,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,GF,0.6364,0.6212,-0.0152,WORSENED
sepsis,ISOLATED,Sub22,HF,0.6000,0.5500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,IF,0.6667,0.6667,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,JF,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,KF,0.7727,0.7273,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,LF,0.8333,0.7500,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,MF,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,Q,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,NF,0.7143,0.6857,-0.0286,WORSENED
sepsis,ISOLATED,Sub22,OF,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,PF,0.6818,0.6364,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,QF,0.6957,0.6522,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,RF,0.6875,0.6250,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,TF,0.7826,0.7391,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,UF,0.6389,0.6111,-0.0278,WORSENED
sepsis,ISOLATED,Sub22,VF,0.6000,0.5500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,WF,0.7143,0.6786,-0.0357,WORSENED
sepsis,ISOLATED,Sub22,R,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,XF,0.5789,0.5263,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,YF,0.6111,0.5833,-0.0278,WORSENED
sepsis,ISOLATED,Sub22,ZF,0.6190,0.5714,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,BG,0.7647,0.7059,-0.0588,WORSENED
sepsis,ISOLATED,Sub22,CG,0.7273,0.6818,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,DG,0.7368,0.6842,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,FG,0.6111,0.5556,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,GG,0.7200,0.6800,-0.0400,WORSENED
sepsis,ISOLATED,Sub22,S,0.7692,0.7308,-0.0385,WORSENED
sepsis,ISOLATED,Sub22,HG,0.7273,0.6818,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,IG,0.6000,0.5600,-0.0400,WORSENED
sepsis,ISOLATED,Sub22,JG,0.6000,0.5500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,KG,0.6087,0.5652,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,LG,0.5625,0.5417,-0.0208,WORSENED
sepsis,ISOLATED,Sub22,MG,0.9231,0.8462,-0.0769,WORSENED
sepsis,ISOLATED,Sub22,NG,0.8462,0.7692,-0.0769,WORSENED
sepsis,ISOLATED,Sub22,OG,0.7500,0.6875,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,QG,0.7500,0.7000,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,T,0.7647,0.7647,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,RG,0.7000,0.6750,-0.0250,WORSENED
sepsis,ISOLATED,Sub22,TG,0.6667,0.6111,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,UG,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,VG,0.8261,0.7826,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,WG,0.6667,0.6190,-0.0476,WORSENED
sepsis,ISOLATED,Sub22,XG,0.6667,0.6000,-0.0667,WORSENED
sepsis,ISOLATED,Sub22,YG,0.6389,0.6111,-0.0278,WORSENED
sepsis,ISOLATED,Sub22,ZG,0.7647,0.7059,-0.0588,WORSENED
sepsis,ISOLATED,Sub22,AH,0.6667,0.6111,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,U,0.6667,0.6111,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,BH,0.6667,0.6296,-0.0370,WORSENED
sepsis,ISOLATED,Sub22,CH,0.6875,0.6250,-0.0625,WORSENED
sepsis,ISOLATED,Sub22,DH,0.7273,0.6818,-0.0455,WORSENED
sepsis,ISOLATED,Sub22,EH,0.7059,0.6471,-0.0588,WORSENED
sepsis,ISOLATED,Sub22,FH,0.8000,0.7500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,HH,0.6842,0.6316,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,IH,0.7083,0.6667,-0.0417,WORSENED
sepsis,ISOLATED,Sub22,KH,0.7368,0.7368,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,V,0.6786,0.6429,-0.0357,WORSENED
sepsis,ISOLATED,Sub22,LH,0.7500,0.7083,-0.0417,WORSENED
sepsis,ISOLATED,Sub22,MH,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,NH,0.7000,0.6500,-0.0500,WORSENED
sepsis,ISOLATED,Sub22,OH,0.6957,0.6522,-0.0435,WORSENED
sepsis,ISOLATED,Sub22,PH,0.6667,0.6667,0.0000,UNCHANGED
sepsis,ISOLATED,Sub22,QH,0.5667,0.5333,-0.0333,WORSENED
sepsis,ISOLATED,Sub22,RH,0.8333,0.7500,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,SH,0.7895,0.7368,-0.0526,WORSENED
sepsis,ISOLATED,Sub22,UH,0.8000,0.7000,-0.1000,WORSENED
sepsis,ISOLATED,Sub22,W,0.6111,0.5556,-0.0556,WORSENED
sepsis,ISOLATED,Sub22,VH,0.8333,0.7500,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,WH,0.9167,0.8333,-0.0833,WORSENED
sepsis,ISOLATED,Sub22,XH,0.7931,0.7586,-0.0345,WORSENED
sepsis,ISOLATED,Sub22,YH,0.8571,0.7857,-0.0714,WORSENED
sepsis,ISOLATED,Sub22,ZH,0.6000,0.5500,-0.0500,WORSENED
