Dataset,Mode,Anomaly_ID,Trace_ID,Fitness_Pre,Fitness_Post,Delta,Outcome
testBank,ISOLATED,Sub2,trace_0,0.8205,0.9231,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_12,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1340,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1344,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1348,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1350,0.8158,0.9211,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1352,0.9024,1.0000,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1355,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1358,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1360,0.9024,1.0000,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1366,0.8222,0.9111,0.0889,IMPROVED
testBank,ISOLATED,Sub2,trace_1371,0.8205,0.9231,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1373,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1374,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_133,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1380,0.6786,0.8214,0.1429,IMPROVED
testBank,ISOLATED,Sub2,trace_1382,0.7949,0.8974,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1384,0.7407,0.8889,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1385,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1386,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_135,0.8293,0.9268,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1388,0.7000,0.8000,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1391,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1393,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1394,0.7381,0.8333,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_1395,0.6905,0.7857,0.0952,IMPROVED
testBank,ISOLATED,Sub2,trace_1396,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1400,0.7692,0.8718,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_136,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1403,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1404,0.7273,0.8485,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1405,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1407,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1414,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_137,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1417,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1418,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1425,0.6364,0.7576,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1428,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1430,0.7879,0.9091,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_138,0.7941,0.9118,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1432,0.7333,0.8222,0.0889,IMPROVED
testBank,ISOLATED,Sub2,trace_1446,0.9184,1.0000,0.0816,IMPROVED
testBank,ISOLATED,Sub2,trace_1458,0.6786,0.8214,0.1429,IMPROVED
testBank,ISOLATED,Sub2,trace_140,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1465,0.7500,0.8409,0.0909,IMPROVED
testBank,ISOLATED,Sub2,trace_1466,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1468,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1470,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1471,0.8857,1.0000,0.1143,IMPROVED
testBank,ISOLATED,Sub2,trace_13,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_141,0.7692,0.8718,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1473,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1481,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1482,0.7692,0.8718,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1484,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1486,0.8235,0.9412,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_142,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1487,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1489,0.8621,1.0000,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1491,0.7879,0.9091,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1495,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1497,0.7188,0.8438,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1498,0.8974,1.0000,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1499,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1501,0.8718,0.9744,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1503,0.8485,0.9697,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1508,0.8158,0.9211,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1510,0.8919,1.0000,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_1511,0.8148,0.9630,0.1481,IMPROVED
testBank,ISOLATED,Sub2,trace_1513,0.8056,0.9167,0.1111,IMPROVED
testBank,ISOLATED,Sub2,trace_145,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1515,0.8947,1.0000,0.1053,IMPROVED
testBank,ISOLATED,Sub2,trace_1520,0.6596,0.7447,0.0851,IMPROVED
testBank,ISOLATED,Sub2,trace_1524,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_146,0.9024,1.0000,0.0976,IMPROVED
testBank,ISOLATED,Sub2,trace_1532,0.8125,0.9375,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1533,0.8205,0.9231,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1537,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1539,0.5862,0.7241,0.1379,IMPROVED
testBank,ISOLATED,Sub2,trace_1542,0.7879,0.9091,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_1543,0.8750,1.0000,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1544,0.8788,1.0000,0.1212,IMPROVED
testBank,ISOLATED,Sub2,trace_147,0.8462,1.0000,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1546,0.8500,0.9500,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1552,0.7667,0.9000,0.1333,IMPROVED
testBank,ISOLATED,Sub2,trace_1556,0.9184,1.0000,0.0816,IMPROVED
testBank,ISOLATED,Sub2,trace_1558,0.7949,0.8974,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1560,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_148,0.7647,0.8824,0.1176,IMPROVED
testBank,ISOLATED,Sub2,trace_1562,0.8919,1.0000,0.1081,IMPROVED
testBank,ISOLATED,Sub2,trace_1563,0.7188,0.8438,0.1250,IMPROVED
testBank,ISOLATED,Sub2,trace_1564,0.6786,0.8214,0.1429,IMPROVED
testBank,ISOLATED,Sub2,trace_1567,0.9111,1.0000,0.0889,IMPROVED
testBank,ISOLATED,Sub2,trace_1569,0.8500,0.9500,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1573,0.8750,0.9750,0.1000,IMPROVED
testBank,ISOLATED,Sub2,trace_1575,0.6923,0.7949,0.1026,IMPROVED
testBank,ISOLATED,Sub2,trace_1576,0.7692,0.9231,0.1538,IMPROVED
testBank,ISOLATED,Sub2,trace_1577,0.9111,1.0000,0.0889,IMPROVED
