Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0,0.9274,0.7784,0.9516,0.6279

fineExp,REPAIR,repaired_Sub19,,45,45,0.9274,0.7789,0.982,0.6279
fineExp,REPAIR,repaired_Sub178,,2730,2775,0.9288,0.7805,0.9815,0.6279
fineExp,REPAIR,repaired_Sub28,,30,2805,0.9288,0.7818,0.9828,0.6279
fineExp,REPAIR,repaired_Sub58,,3,2808,0.9288,0.7551,0.9829,0.6279
fineExp,REPAIR,repaired_Sub5,,8,2816,0.9288,0.7578,0.9831,0.6279
fineExp,REPAIR,repaired_Sub7,,39,2855,0.9288,0.7516,0.9831,0.6279
fineExp,REPAIR,repaired_Sub56,,18,2873,0.9288,0.7645,0.9831,0.6279
fineExp,REPAIR,repaired_Sub62,,14,2887,0.9288,0.7521,0.9831,0.6279
fineExp,REPAIR,repaired_Sub14,,25,2912,0.9288,0.7353,0.9831,0.6279
fineExp,REPAIR,repaired_Sub24,,8,2920,0.9289,0.7336,0.9831,0.6279
fineExp,REPAIR,repaired_Sub100,,0,2920,0.9289,0.7322,0.9831,0.6279
fineExp,REPAIR,repaired_Sub71,,3,2923,0.9289,0.7374,0.9831,0.6279
fineExp,REPAIR,repaired_Sub33,,9,2932,0.9288,0.7395,0.9831,0.6279
fineExp,REPAIR,repaired_Sub30,,1,2933,0.9288,0.7364,0.9831,0.6279
fineExp,REPAIR,repaired_Sub54,,0,2933,0.9288,0.7402,0.9831,0.6279
fineExp,REPAIR,repaired_Sub59,,4,2937,0.9288,0.7373,0.9831,0.6279
fineExp,REPAIR,repaired_Sub113,,0,2937,0.9288,0.7408,0.9831,0.6279
fineExp,REPAIR,repaired_Sub64,,4,2941,0.9288,0.6904,0.9831,0.6279
fineExp,REPAIR,repaired_Sub88,,0,2941,0.9288,0.6957,0.9831,0.6279
fineExp,REPAIR,repaired_Sub50,,3,2944,0.9288,0.7005,0.9832,0.6279
fineExp,REPAIR,repaired_Sub80,,0,2944,0.9288,0.6991,0.9832,0.6279
fineExp,REPAIR,repaired_Sub81,,0,2944,0.9288,0.7049,0.9832,0.6279
fineExp,REPAIR,repaired_Sub63,,2,2946,0.9288,0.7078,0.9832,0.6279
fineExp,REPAIR,repaired_Sub84,,0,2946,0.9288,0.7005,0.9832,0.6279
fineExp,REPAIR,repaired_Sub85,,0,2946,0.9288,0.6977,0.9832,0.6279
fineExp,REPAIR,repaired_Sub103,,0,2946,0.9288,0.6958,0.9832,0.6279
fineExp,REPAIR,repaired_Sub114,,0,2946,0.9288,0.6863,0.9832,0.6279
fineExp,REPAIR,repaired_Sub145,,0,2946,0.9288,0.6957,0.9832,0.6279
fineExp,REPAIR,repaired_Sub174,,1,2947,0.9288,0.6789,0.9832,0.6279
fineExp,REPAIR,repaired_Sub176,,0,2947,0.9288,0.6843,0.9832,0.6279
fineExp,REPAIR,repaired_Sub179,,0,2947,0.9288,0.6813,0.9832,0.6279
fineExp,REPAIR,repaired_Sub180,N/A,1,2948,0.9288,0.6783,0.9832,0.6279
