Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0,0.9274,0.7797,0.9516,0.6279
fineExp,REPAIR,repaired_Sub19,,45,45,0.9274,0.7755,0.982,0.6279
fineExp,REPAIR,repaired_Sub178,,2730,2775,0.9288,0.7777,0.9815,0.6279
fineExp,REPAIR,repaired_Sub58,,3,2778,0.9288,0.7514,0.9817,0.6279
fineExp,REPAIR,repaired_Sub56,,33,2811,0.9288,0.7604,0.9818,0.6279
fineExp,REPAIR,repaired_Sub71,,4,2815,0.9288,0.7543,0.9818,0.6279
fineExp,REPAIR,repaired_Sub33,,9,2824,0.9288,0.7571,0.9818,0.6279
fineExp,REPAIR,repaired_Sub54,,0,2824,0.9288,0.7543,0.9818,0.6279
fineExp,REPAIR,repaired_Sub59,,3,2827,0.9288,0.7608,0.9818,0.6279
fineExp,REPAIR,repaired_Sub113,,0,2827,0.9288,0.756,0.9818,0.6279
fineExp,REPAIR,repaired_Sub64,,4,2831,0.9288,0.7121,0.9818,0.6279
fineExp,REPAIR,repaired_Sub50,,3,2834,0.9288,0.7097,0.9819,0.6279
fineExp,REPAIR,repaired_Sub80,,0,2834,0.9288,0.7152,0.9819,0.6279
fineExp,REPAIR,repaired_Sub84,,0,2834,0.9288,0.7087,0.9819,0.6279
fineExp,REPAIR,repaired_Sub85,,0,2834,0.9288,0.7206,0.9819,0.6279
fineExp,REPAIR,repaired_Sub103,,0,2834,0.9288,0.7087,0.9819,0.6279
fineExp,REPAIR,repaired_Sub114,,0,2834,0.9288,0.7118,0.9819,0.6279

fineExp,REPAIR,repaired_Sub19,,45,45,0.9274,0.7789,0.982,0.6279
fineExp,REPAIR,repaired_Sub178,,2730,2775,0.9288,0.7816,0.9815,0.6279
fineExp,REPAIR,repaired_Sub58,,3,2778,0.9288,0.7639,0.9817,0.6279
fineExp,REPAIR,repaired_Sub56,,33,2811,0.9288,0.7548,0.9818,0.6279
fineExp,REPAIR,repaired_Sub71,,4,2815,0.9288,0.7583,0.9818,0.6279
fineExp,REPAIR,repaired_Sub33,,9,2824,0.9288,0.7511,0.9818,0.6279
fineExp,REPAIR,repaired_Sub54,,0,2824,0.9288,0.7576,0.9818,0.6279
fineExp,REPAIR,repaired_Sub59,,3,2827,0.9288,0.7601,0.9818,0.6279
fineExp,REPAIR,repaired_Sub113,,0,2827,0.9288,0.7544,0.9818,0.6279
fineExp,REPAIR,repaired_Sub64,,4,2831,0.9288,0.7071,0.9818,0.6279
fineExp,REPAIR,repaired_Sub50,,3,2834,0.9288,0.7155,0.9819,0.6279
fineExp,REPAIR,repaired_Sub80,,0,2834,0.9288,0.7073,0.9819,0.6279
fineExp,REPAIR,repaired_Sub84,,0,2834,0.9288,0.7154,0.9819,0.6279
fineExp,REPAIR,repaired_Sub85,,0,2834,0.9288,0.712,0.9819,0.6279
fineExp,REPAIR,repaired_Sub103,,0,2834,0.9288,0.7189,0.9819,0.6279
fineExp,REPAIR,repaired_Sub114,N/A,0,2834,0.9288,0.7115,0.9819,0.6279
