Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub19,,2772,2772,0.9932,0.8801,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub178,,3,2775,0.9932,0.8801,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub28,,296,3071,0.993,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub58,,3,3074,0.993,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub5,,120,3194,0.9931,0.88,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub7,,39,3233,0.9931,0.88,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub56,,34,3267,0.9932,0.88,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub62,,28,3295,0.9932,0.8799,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub14,,25,3320,0.9932,0.8799,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub100,,0,3320,0.9932,0.8799,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub24,,8,3328,0.9932,0.8799,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub71,,13,3341,0.9932,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub33,,9,3350,0.9932,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub30,,7,3357,0.9932,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub54,,0,3357,0.9932,0.8799,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub59,,6,3363,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub113,,0,3363,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub64,,4,3367,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub88,,0,3367,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub50,,3,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub80,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub81,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub84,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub85,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub103,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub114,,0,3370,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub63,,2,3372,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub145,,0,3372,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub174,,1,3373,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub179,,0,3373,0.9932,0.88,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub180,,1,3374,0.9932,0.8802,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub176,N/A,1,3375,0.9932,0.8801,0.9807,0.5833
