Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub19,freq_sorted+ged_sorted+similarity_sorted,2772,2772,0.9932,0.8163,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub178,freq_sorted+ged_sorted+similarity_sorted,3,2775,0.9932,0.8165,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub28,freq_sorted+ged_sorted+similarity_sorted,296,3071,0.993,0.816,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub58,freq_sorted+ged_sorted+similarity_sorted,3,3074,0.993,0.8157,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub5,freq_sorted+ged_sorted+similarity_sorted,120,3194,0.9931,0.816,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub7,freq_sorted+ged_sorted+similarity_sorted,39,3233,0.9931,0.8159,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub56,freq_sorted+ged_sorted+similarity_sorted,34,3267,0.9932,0.8159,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub62,freq_sorted+ged_sorted+similarity_sorted,28,3295,0.9932,0.816,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub14,freq_sorted+ged_sorted+similarity_sorted,25,3320,0.9932,0.818,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub100,freq_sorted+ged_sorted+similarity_sorted,0,3320,0.9932,0.818,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub24,freq_sorted+ged_sorted+similarity_sorted,8,3328,0.9932,0.818,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub71,freq_sorted+ged_sorted+similarity_sorted,13,3341,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub33,freq_sorted+ged_sorted+similarity_sorted,9,3350,0.9932,0.8181,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub30,freq_sorted+ged_sorted+similarity_sorted,7,3357,0.9932,0.8178,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub59,freq_sorted+ged_sorted+similarity_sorted,6,3363,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub54,freq_sorted+ged_sorted+similarity_sorted,0,3363,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub113,freq_sorted+ged_sorted+similarity_sorted,0,3363,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub64,freq_sorted+ged_sorted+similarity_sorted,4,3367,0.9932,0.8181,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub88,freq_sorted+ged_sorted+similarity_sorted,0,3367,0.9932,0.8178,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub80,freq_sorted+ged_sorted+similarity_sorted,0,3367,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub50,freq_sorted+ged_sorted+similarity_sorted,3,3370,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub81,freq_sorted+ged_sorted+similarity_sorted,0,3370,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub85,freq_sorted+ged_sorted+similarity_sorted,0,3370,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub103,freq_sorted+ged_sorted+similarity_sorted,0,3370,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub114,freq_sorted+ged_sorted+similarity_sorted,0,3370,0.9932,0.8181,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub84,freq_sorted+ged_sorted+similarity_sorted,0,3370,0.9932,0.8181,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub63,freq_sorted+ged_sorted+similarity_sorted,2,3372,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub145,freq_sorted+ged_sorted+similarity_sorted,0,3372,0.9932,0.818,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub174,freq_sorted+ged_sorted+similarity_sorted,1,3373,0.9932,0.8181,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub179,freq_sorted+ged_sorted+similarity_sorted,0,3373,0.9932,0.8179,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub180,freq_sorted+ged_sorted+similarity_sorted,1,3374,0.9932,0.8164,0.9807,0.5833
fineExp,REPAIR,repaired_incremental_Sub176,freq_sorted+ged_sorted+similarity_sorted,1,3375,0.9932,0.817,0.9807,0.5833
