Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub85,ged_sorted+similarity_sorted+freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub103,ged_sorted+similarity_sorted+freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub80,ged_sorted+similarity_sorted+freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub19,ged_sorted+similarity_sorted+freq_sorted,2772,2772,0.9932,0.8165,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub59,ged_sorted+similarity_sorted+freq_sorted,6,2778,0.9932,0.8143,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub50,ged_sorted+similarity_sorted+freq_sorted,3,2781,0.9932,0.8142,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub33,ged_sorted+similarity_sorted+freq_sorted,9,2790,0.9932,0.8117,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub64,ged_sorted+similarity_sorted+freq_sorted,4,2794,0.9932,0.8118,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub58,ged_sorted+similarity_sorted+freq_sorted,264,3058,0.9932,0.812,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub114,ged_sorted+similarity_sorted+freq_sorted,0,3058,0.9932,0.8122,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub84,ged_sorted+similarity_sorted+freq_sorted,0,3058,0.9932,0.8122,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub54,ged_sorted+similarity_sorted+freq_sorted,0,3058,0.9932,0.8121,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub113,ged_sorted+similarity_sorted+freq_sorted,0,3058,0.9932,0.812,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub178,ged_sorted+similarity_sorted+freq_sorted,3,3061,0.9932,0.8122,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub56,ged_sorted+similarity_sorted+freq_sorted,34,3095,0.9932,0.8122,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub71,ged_sorted+similarity_sorted+freq_sorted,13,3108,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub100,ged_sorted+similarity_sorted+freq_sorted,0,3108,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub7,ged_sorted+similarity_sorted+freq_sorted,39,3147,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub88,ged_sorted+similarity_sorted+freq_sorted,0,3147,0.9932,0.812,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub63,ged_sorted+similarity_sorted+freq_sorted,2,3149,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub14,ged_sorted+similarity_sorted+freq_sorted,25,3174,0.9932,0.8163,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub145,ged_sorted+similarity_sorted+freq_sorted,0,3174,0.9932,0.8162,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub62,ged_sorted+similarity_sorted+freq_sorted,28,3202,0.9932,0.8162,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub5,ged_sorted+similarity_sorted+freq_sorted,120,3322,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub30,ged_sorted+similarity_sorted+freq_sorted,7,3329,0.9934,0.8186,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub174,ged_sorted+similarity_sorted+freq_sorted,1,3330,0.9934,0.8184,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub179,ged_sorted+similarity_sorted+freq_sorted,0,3330,0.9934,0.8187,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub180,ged_sorted+similarity_sorted+freq_sorted,1,3331,0.9934,0.8163,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub28,ged_sorted+similarity_sorted+freq_sorted,35,3366,0.9933,0.8163,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub81,ged_sorted+similarity_sorted+freq_sorted,0,3366,0.9933,0.8168,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub176,ged_sorted+similarity_sorted+freq_sorted,1,3367,0.9933,0.8175,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub24,ged_sorted+similarity_sorted+freq_sorted,8,3375,0.9933,0.8169,0.9809,0.5833
