Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub19,ged_sorted,2772,2772,0.9932,0.8164,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub33,ged_sorted,9,2781,0.9932,0.8137,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub50,ged_sorted,3,2784,0.9932,0.8137,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub54,ged_sorted,0,2784,0.9932,0.8139,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub56,ged_sorted,34,2818,0.9932,0.8137,0.9804,0.5833
fineExp,REPAIR,repaired_incremental_Sub58,ged_sorted,264,3082,0.9932,0.8141,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub59,ged_sorted,6,3088,0.9932,0.8121,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub64,ged_sorted,4,3092,0.9932,0.8121,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub71,ged_sorted,13,3105,0.9932,0.812,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub80,ged_sorted,0,3105,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub84,ged_sorted,0,3105,0.9932,0.8121,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub85,ged_sorted,0,3105,0.9932,0.8121,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub103,ged_sorted,0,3105,0.9932,0.8121,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub113,ged_sorted,0,3105,0.9932,0.812,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub114,ged_sorted,0,3105,0.9932,0.8122,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub178,ged_sorted,3,3108,0.9932,0.812,0.9808,0.5833
fineExp,REPAIR,repaired_incremental_Sub5,ged_sorted,120,3228,0.9933,0.8166,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub7,ged_sorted,39,3267,0.9933,0.8166,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub14,ged_sorted,25,3292,0.9933,0.8187,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub28,ged_sorted,35,3327,0.9933,0.8186,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub30,ged_sorted,7,3334,0.9933,0.8188,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub62,ged_sorted,28,3362,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub63,ged_sorted,2,3364,0.9933,0.8184,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub88,ged_sorted,0,3364,0.9933,0.8186,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub100,ged_sorted,0,3364,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub145,ged_sorted,0,3364,0.9933,0.8188,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub174,ged_sorted,1,3365,0.9933,0.8184,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub179,ged_sorted,0,3365,0.9933,0.8187,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub180,ged_sorted,1,3366,0.9933,0.8163,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub24,ged_sorted,8,3374,0.9933,0.8168,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub81,ged_sorted,0,3374,0.9933,0.8168,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub176,ged_sorted,1,3375,0.9933,0.8159,0.9809,0.5833
