Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub100,similarity_sorted+ged_sorted+freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub7,similarity_sorted+ged_sorted+freq_sorted,39,39,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub88,similarity_sorted+ged_sorted+freq_sorted,0,39,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub63,similarity_sorted+ged_sorted+freq_sorted,2,41,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub14,similarity_sorted+ged_sorted+freq_sorted,25,66,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub85,similarity_sorted+ged_sorted+freq_sorted,0,66,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub103,similarity_sorted+ged_sorted+freq_sorted,0,66,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub80,similarity_sorted+ged_sorted+freq_sorted,0,66,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_incremental_Sub19,similarity_sorted+ged_sorted+freq_sorted,2772,2838,0.9932,0.8186,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub145,similarity_sorted+ged_sorted+freq_sorted,0,2838,0.9932,0.8185,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub59,similarity_sorted+ged_sorted+freq_sorted,6,2844,0.9932,0.8186,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub62,similarity_sorted+ged_sorted+freq_sorted,28,2872,0.9932,0.8186,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub50,similarity_sorted+ged_sorted+freq_sorted,3,2875,0.9932,0.8184,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub33,similarity_sorted+ged_sorted+freq_sorted,9,2884,0.9932,0.816,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub64,similarity_sorted+ged_sorted+freq_sorted,4,2888,0.9932,0.8158,0.9803,0.5833
fineExp,REPAIR,repaired_incremental_Sub5,similarity_sorted+ged_sorted+freq_sorted,120,3008,0.9933,0.8182,0.9804,0.5833
fineExp,REPAIR,repaired_incremental_Sub30,similarity_sorted+ged_sorted+freq_sorted,7,3015,0.9933,0.8181,0.9804,0.5833
fineExp,REPAIR,repaired_incremental_Sub58,similarity_sorted+ged_sorted+freq_sorted,264,3279,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub114,similarity_sorted+ged_sorted+freq_sorted,0,3279,0.9933,0.8186,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub84,similarity_sorted+ged_sorted+freq_sorted,0,3279,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub54,similarity_sorted+ged_sorted+freq_sorted,0,3279,0.9933,0.8186,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub174,similarity_sorted+ged_sorted+freq_sorted,1,3280,0.9933,0.8188,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub179,similarity_sorted+ged_sorted+freq_sorted,0,3280,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub81,similarity_sorted+ged_sorted+freq_sorted,0,3280,0.9933,0.8185,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub180,similarity_sorted+ged_sorted+freq_sorted,1,3281,0.9933,0.8168,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub113,similarity_sorted+ged_sorted+freq_sorted,0,3281,0.9933,0.8163,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub176,similarity_sorted+ged_sorted+freq_sorted,1,3282,0.9933,0.8164,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub24,similarity_sorted+ged_sorted+freq_sorted,8,3290,0.9933,0.8175,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub178,similarity_sorted+ged_sorted+freq_sorted,3,3293,0.9933,0.8164,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub56,similarity_sorted+ged_sorted+freq_sorted,34,3327,0.9934,0.8175,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub71,similarity_sorted+ged_sorted+freq_sorted,13,3340,0.9934,0.8158,0.9809,0.5833
fineExp,REPAIR,repaired_incremental_Sub28,similarity_sorted+ged_sorted+freq_sorted,35,3375,0.9933,0.818,0.9809,0.5833
