Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub19,,2772,2772,0.9932,0.8801,0.9803,0.5833
fineExp,REPAIR,repaired_isolated_Sub178,,2730,2730,0.9955,0.8759,0.9753,0.5833
fineExp,REPAIR,repaired_isolated_Sub28,,296,296,0.9955,0.876,0.9805,0.5833
fineExp,REPAIR,repaired_isolated_Sub58,,283,283,0.9957,0.876,0.9807,0.5833
fineExp,REPAIR,repaired_isolated_Sub5,,120,120,0.9959,0.876,0.9802,0.5833
fineExp,REPAIR,repaired_isolated_Sub7,,39,39,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub56,,34,34,0.9957,0.876,0.9802,0.5833
fineExp,REPAIR,repaired_isolated_Sub62,,28,28,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub14,,25,25,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub100,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub24,,15,15,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub71,,13,13,0.9957,0.8764,0.98,0.5833
fineExp,REPAIR,repaired_isolated_Sub33,,9,9,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub30,,7,7,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub54,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub59,,6,6,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub113,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub64,,4,4,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub88,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub50,,3,3,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub80,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub81,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub84,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub85,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub103,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub114,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub63,,2,2,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub145,,0,0,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub174,,1,1,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub179,,1,1,0.9957,0.876,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub180,,1,1,0.9957,0.8762,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub176,N/A,1,1,0.9957,0.876,0.9801,0.5833
