Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub19,freq_sorted,2772,2772,0.9932,0.8165,0.9803,0.5833
fineExp,REPAIR,repaired_isolated_Sub178,freq_sorted,2732,2732,0.9932,0.8128,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub28,freq_sorted,296,296,0.9956,0.814,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub58,freq_sorted,283,283,0.9957,0.8146,0.9807,0.5833
fineExp,REPAIR,repaired_isolated_Sub5,freq_sorted,120,120,0.9956,0.8146,0.9803,0.5833
fineExp,REPAIR,repaired_isolated_Sub7,freq_sorted,39,39,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub56,freq_sorted,34,34,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub62,freq_sorted,28,28,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub14,freq_sorted,25,25,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub24,freq_sorted,15,15,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub100,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub71,freq_sorted,13,13,0.9957,0.8147,0.98,0.5833
fineExp,REPAIR,repaired_isolated_Sub33,freq_sorted,9,9,0.9957,0.8125,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub30,freq_sorted,7,7,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub54,freq_sorted,6,6,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub59,freq_sorted,6,6,0.9957,0.8613,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub113,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub64,freq_sorted,4,4,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub88,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub50,freq_sorted,3,3,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub80,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub81,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub63,freq_sorted,2,2,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub84,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub85,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub103,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub114,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub145,freq_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub174,freq_sorted,1,1,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub176,freq_sorted,1,1,0.9957,0.8143,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub179,freq_sorted,1,1,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub180,freq_sorted,1,1,0.9957,0.8147,0.9801,0.5833
