Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,N/A,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub100,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub7,similarity_sorted,39,39,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub88,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub63,similarity_sorted,2,2,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub14,similarity_sorted,25,25,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub85,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub103,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub80,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub19,similarity_sorted,2772,2772,0.9932,0.8163,0.9803,0.5833
fineExp,REPAIR,repaired_isolated_Sub145,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub59,similarity_sorted,6,6,0.9957,0.8126,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub62,similarity_sorted,28,28,0.9957,0.8146,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub50,similarity_sorted,3,3,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub33,similarity_sorted,9,9,0.9957,0.8118,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub64,similarity_sorted,4,4,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub5,similarity_sorted,120,120,0.9959,0.8147,0.9802,0.5833
fineExp,REPAIR,repaired_isolated_Sub30,similarity_sorted,7,7,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub58,similarity_sorted,283,283,0.9957,0.8145,0.9807,0.5833
fineExp,REPAIR,repaired_isolated_Sub114,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub84,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub54,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub174,similarity_sorted,1,1,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub179,similarity_sorted,1,1,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub81,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub180,similarity_sorted,1,1,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub113,similarity_sorted,0,0,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub176,similarity_sorted,1,1,0.9957,0.8143,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub24,similarity_sorted,15,15,0.9957,0.8147,0.9801,0.5833
fineExp,REPAIR,repaired_isolated_Sub178,similarity_sorted,2730,2730,0.9955,0.8122,0.9753,0.5833
fineExp,REPAIR,repaired_isolated_Sub56,similarity_sorted,34,34,0.9957,0.8147,0.9802,0.5833
fineExp,REPAIR,repaired_isolated_Sub71,similarity_sorted,13,13,0.9957,0.8147,0.98,0.5833
fineExp,REPAIR,repaired_isolated_Sub28,similarity_sorted,296,296,0.9955,0.814,0.9805,0.5833
