Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_Sub22,,905,905,0.7074,0.2958,0.9505,0.6842
sepsis,REPAIR,repaired_Sub14,,501,1406,0.7158,0.2891,0.9477,0.6842
sepsis,REPAIR,repaired_Sub16,,181,1587,0.7213,0.2895,0.9477,0.6842
sepsis,REPAIR,repaired_Sub9,,275,1862,0.7226,0.2868,0.947,0.6842
sepsis,REPAIR,repaired_Sub72,,306,2168,0.7256,0.2952,0.9469,0.6842
sepsis,REPAIR,repaired_Sub222,,0,2168,0.7256,0.2945,0.9469,0.6842
sepsis,REPAIR,repaired_Sub7,,205,2373,0.7213,0.302,0.9469,0.6842
sepsis,REPAIR,repaired_Sub42,,184,2557,0.7374,0.3067,0.9471,0.6842
sepsis,REPAIR,repaired_Sub106,,17,2574,0.7376,0.3077,0.947,0.6842
sepsis,REPAIR,repaired_Sub31,,153,2727,0.732,0.3085,0.947,0.6842
sepsis,REPAIR,repaired_Sub80,,135,2862,0.737,0.312,0.9472,0.6842
sepsis,REPAIR,repaired_Sub62,,128,2990,0.737,0.3076,0.9471,0.6842
sepsis,REPAIR,repaired_Sub512,,4,2994,0.7371,0.3085,0.9471,0.6842
sepsis,REPAIR,repaired_Sub60,,26,3020,0.7371,0.312,0.9471,0.6842
sepsis,REPAIR,repaired_Sub39,,65,3085,0.7343,0.3075,0.947,0.6842
sepsis,REPAIR,repaired_Sub35,,62,3147,0.7358,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_Sub183,,0,3147,0.7358,0.3112,0.9471,0.6842
sepsis,REPAIR,repaired_Sub149,,2,3149,0.7358,0.3092,0.9471,0.6842
sepsis,REPAIR,repaired_Sub219,,2,3151,0.7357,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_Sub518,N/A,0,3151,0.7357,0.3097,0.9471,0.6842
