Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub22,freq_sorted,905,905,0.7074,0.2957,0.9505,0.6842
sepsis,REPAIR,repaired_incremental_Sub14,freq_sorted,501,1406,0.7158,0.2884,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub16,freq_sorted,181,1587,0.7213,0.2897,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub9,freq_sorted,283,1870,0.7201,0.2877,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub72,freq_sorted,308,2178,0.7302,0.2958,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,freq_sorted,0,2178,0.7302,0.2963,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,freq_sorted,206,2384,0.7265,0.3042,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub42,freq_sorted,184,2568,0.7387,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub106,freq_sorted,20,2588,0.7391,0.3088,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,freq_sorted,157,2745,0.7344,0.3073,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub80,freq_sorted,135,2880,0.7357,0.3116,0.9472,0.6842
sepsis,REPAIR,repaired_incremental_Sub62,freq_sorted,129,3009,0.736,0.3079,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,freq_sorted,7,3016,0.7359,0.3069,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub60,freq_sorted,26,3042,0.7359,0.3096,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub39,freq_sorted,65,3107,0.7331,0.3061,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub35,freq_sorted,62,3169,0.7341,0.3074,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub183,freq_sorted,1,3170,0.7341,0.3079,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub149,freq_sorted,2,3172,0.7341,0.3073,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub219,freq_sorted,2,3174,0.734,0.3074,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub518,freq_sorted,0,3174,0.734,0.3074,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,freq_sorted,0,3174,0.734,0.3079,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,freq_sorted,0,3174,0.734,0.3075,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,freq_sorted,36,3210,0.7336,0.305,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,freq_sorted,0,3210,0.7336,0.3051,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub148,freq_sorted,13,3223,0.7339,0.3044,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,freq_sorted,0,3223,0.7339,0.3046,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,freq_sorted,0,3223,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,freq_sorted,1,3224,0.7339,0.3045,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,freq_sorted,0,3224,0.7339,0.3047,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,freq_sorted,0,3224,0.7339,0.3044,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,freq_sorted,1,3225,0.7338,0.3039,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub257,freq_sorted,0,3225,0.7338,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub94,freq_sorted,0,3225,0.7338,0.3045,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub327,freq_sorted,1,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub925,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub341,freq_sorted,0,3226,0.7339,0.3055,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub938,freq_sorted,0,3226,0.7339,0.304,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub549,freq_sorted,0,3226,0.7339,0.305,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub123,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub961,freq_sorted,0,3226,0.7339,0.3049,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub331,freq_sorted,0,3226,0.7339,0.3045,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub948,freq_sorted,0,3226,0.7339,0.3046,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,freq_sorted,0,3226,0.7339,0.3053,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,freq_sorted,0,3226,0.7339,0.3052,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub954,freq_sorted,0,3226,0.7339,0.305,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub465,freq_sorted,0,3226,0.7339,0.3051,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub918,freq_sorted,0,3226,0.7339,0.305,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub143,freq_sorted,0,3226,0.7339,0.3047,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,freq_sorted,0,3226,0.7339,0.3047,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,freq_sorted,0,3226,0.7339,0.3043,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub392,freq_sorted,0,3226,0.7339,0.3044,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub403,freq_sorted,0,3226,0.7339,0.3046,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub264,freq_sorted,0,3226,0.7339,0.3046,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub322,freq_sorted,0,3226,0.7339,0.3046,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,freq_sorted,0,3226,0.7339,0.3048,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,freq_sorted,0,3226,0.7339,0.305,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,freq_sorted,0,3226,0.7339,0.3046,0.947,0.6842
