Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub22,freq_sorted+similarity_sorted+ged_sorted,905,905,0.7074,0.2955,0.9505,0.6842
sepsis,REPAIR,repaired_incremental_Sub14,freq_sorted+similarity_sorted+ged_sorted,501,1406,0.7158,0.2887,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub16,freq_sorted+similarity_sorted+ged_sorted,181,1587,0.7213,0.2898,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub9,freq_sorted+similarity_sorted+ged_sorted,275,1862,0.7226,0.2866,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub72,freq_sorted+similarity_sorted+ged_sorted,306,2168,0.7256,0.2945,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,freq_sorted+similarity_sorted+ged_sorted,0,2168,0.7256,0.2947,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,freq_sorted+similarity_sorted+ged_sorted,205,2373,0.7213,0.3021,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub42,freq_sorted+similarity_sorted+ged_sorted,184,2557,0.7374,0.3069,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub106,freq_sorted+similarity_sorted+ged_sorted,17,2574,0.7376,0.3077,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,freq_sorted+similarity_sorted+ged_sorted,153,2727,0.732,0.3081,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub80,freq_sorted+similarity_sorted+ged_sorted,135,2862,0.737,0.313,0.9472,0.6842
sepsis,REPAIR,repaired_incremental_Sub62,freq_sorted+similarity_sorted+ged_sorted,128,2990,0.737,0.3077,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,freq_sorted+similarity_sorted+ged_sorted,4,2994,0.7371,0.3074,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub60,freq_sorted+similarity_sorted+ged_sorted,26,3020,0.7371,0.31,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub39,freq_sorted+similarity_sorted+ged_sorted,65,3085,0.7343,0.3067,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub35,freq_sorted+similarity_sorted+ged_sorted,62,3147,0.7358,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub183,freq_sorted+similarity_sorted+ged_sorted,0,3147,0.7358,0.3095,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub149,freq_sorted+similarity_sorted+ged_sorted,2,3149,0.7358,0.3097,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub219,freq_sorted+similarity_sorted+ged_sorted,2,3151,0.7357,0.3083,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub518,freq_sorted+similarity_sorted+ged_sorted,0,3151,0.7357,0.309,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,freq_sorted+similarity_sorted+ged_sorted,0,3151,0.7357,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,freq_sorted+similarity_sorted+ged_sorted,0,3151,0.7357,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,freq_sorted+similarity_sorted+ged_sorted,29,3180,0.7355,0.3103,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,freq_sorted+similarity_sorted+ged_sorted,0,3180,0.7355,0.3095,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub148,freq_sorted+similarity_sorted+ged_sorted,10,3190,0.7357,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,freq_sorted+similarity_sorted+ged_sorted,0,3190,0.7357,0.31,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,freq_sorted+similarity_sorted+ged_sorted,0,3190,0.7357,0.3093,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,freq_sorted+similarity_sorted+ged_sorted,1,3191,0.7356,0.3088,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,freq_sorted+similarity_sorted+ged_sorted,0,3191,0.7356,0.309,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,freq_sorted+similarity_sorted+ged_sorted,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,freq_sorted+similarity_sorted+ged_sorted,0,3191,0.7356,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub257,freq_sorted+similarity_sorted+ged_sorted,0,3191,0.7356,0.3108,0.9471,0.6842
