Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub22,,905,905,0.7074,0.2956,0.9505,0.6842
sepsis,REPAIR,repaired_incremental_Sub14,,501,1406,0.7158,0.2883,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub16,,181,1587,0.7213,0.2897,0.9477,0.6842
sepsis,REPAIR,repaired_incremental_Sub9,,275,1862,0.7226,0.2875,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub72,,306,2168,0.7256,0.2944,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,,0,2168,0.7256,0.2943,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,,205,2373,0.7213,0.3025,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub42,,184,2557,0.7374,0.3089,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub106,,17,2574,0.7376,0.3081,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,,153,2727,0.732,0.309,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub80,,135,2862,0.737,0.3122,0.9472,0.6842
sepsis,REPAIR,repaired_incremental_Sub62,,128,2990,0.737,0.3075,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,,4,2994,0.7371,0.3072,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub60,,26,3020,0.7371,0.3097,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub39,,65,3085,0.7343,0.307,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub35,,62,3147,0.7358,0.3089,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub183,,0,3147,0.7358,0.3092,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub149,,2,3149,0.7358,0.3088,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub219,,2,3151,0.7357,0.3085,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub518,,0,3151,0.7357,0.309,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,,0,3151,0.7357,0.309,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,,0,3151,0.7357,0.3089,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,,29,3180,0.7355,0.3107,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,,0,3180,0.7355,0.3108,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub148,,10,3190,0.7357,0.3088,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,,0,3190,0.7357,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,,0,3190,0.7357,0.3096,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,,1,3191,0.7356,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,,0,3191,0.7356,0.3092,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,,0,3191,0.7356,0.3087,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,,0,3191,0.7356,0.3093,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub257,,0,3191,0.7356,0.3088,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub94,,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub327,,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub925,,0,3191,0.7356,0.3096,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,,0,3191,0.7356,0.3087,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub341,,0,3191,0.7356,0.3087,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub938,,0,3191,0.7356,0.3098,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub549,,0,3191,0.7356,0.3086,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub123,,0,3191,0.7356,0.3092,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub961,,0,3191,0.7356,0.3097,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,,0,3191,0.7356,0.3098,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub331,,0,3191,0.7356,0.31,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub948,,0,3191,0.7356,0.3089,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,,0,3191,0.7356,0.3088,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub954,,0,3191,0.7356,0.3092,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub465,,0,3191,0.7356,0.3093,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub918,,0,3191,0.7356,0.3095,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub143,,0,3191,0.7356,0.309,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,,0,3191,0.7356,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,,0,3191,0.7356,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub392,,0,3191,0.7356,0.3095,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub403,,0,3191,0.7356,0.3091,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub264,,0,3191,0.7356,0.3087,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub322,,0,3191,0.7356,0.3094,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,,0,3191,0.7356,0.3097,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,,0,3191,0.7356,0.3085,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,,0,3191,0.7356,0.3089,0.9471,0.6842
