Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,ged_sorted+similarity_sorted+freq_sorted,154,154,0.7012,0.3091,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,ged_sorted+similarity_sorted+freq_sorted,2,156,0.7012,0.3087,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,ged_sorted+similarity_sorted+freq_sorted,0,156,0.7012,0.3092,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,ged_sorted+similarity_sorted+freq_sorted,0,156,0.7012,0.3091,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,ged_sorted+similarity_sorted+freq_sorted,0,156,0.7012,0.309,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,ged_sorted+similarity_sorted+freq_sorted,0,156,0.7012,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,ged_sorted+similarity_sorted+freq_sorted,37,193,0.7006,0.3072,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,ged_sorted+similarity_sorted+freq_sorted,0,193,0.7006,0.3074,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,ged_sorted+similarity_sorted+freq_sorted,0,193,0.7006,0.3071,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,ged_sorted+similarity_sorted+freq_sorted,0,193,0.7006,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,ged_sorted+similarity_sorted+freq_sorted,0,193,0.7006,0.3074,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,ged_sorted+similarity_sorted+freq_sorted,4,197,0.7006,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub327,ged_sorted+similarity_sorted+freq_sorted,2,199,0.7007,0.3072,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub341,ged_sorted+similarity_sorted+freq_sorted,0,199,0.7007,0.3079,0.9518,0.6842
