Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub9,ged_sorted,318,318,0.719,0.3081,0.9513,0.6842
sepsis,REPAIR,repaired_incremental_Sub14,ged_sorted,501,819,0.7209,0.2981,0.9485,0.6842
sepsis,REPAIR,repaired_incremental_Sub16,ged_sorted,134,953,0.7226,0.2991,0.9483,0.6842
sepsis,REPAIR,repaired_incremental_Sub22,ged_sorted,905,1858,0.7226,0.2866,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,ged_sorted,154,2012,0.7169,0.2881,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub35,ged_sorted,62,2074,0.7186,0.2889,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub39,ged_sorted,66,2140,0.7157,0.2892,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub42,ged_sorted,184,2324,0.7317,0.2935,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,ged_sorted,37,2361,0.7313,0.2947,0.947,0.6842
sepsis,REPAIR,repaired_incremental_Sub60,ged_sorted,26,2387,0.7313,0.2978,0.9469,0.6842
sepsis,REPAIR,repaired_incremental_Sub62,ged_sorted,129,2516,0.7313,0.2932,0.9468,0.6842
sepsis,REPAIR,repaired_incremental_Sub72,ged_sorted,305,2821,0.7345,0.301,0.9468,0.6842
sepsis,REPAIR,repaired_incremental_Sub80,ged_sorted,135,2956,0.7394,0.3021,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub94,ged_sorted,0,2956,0.7394,0.302,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub106,ged_sorted,19,2975,0.7396,0.3045,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,ged_sorted,0,2975,0.7396,0.3046,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub123,ged_sorted,0,2975,0.7396,0.3047,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,ged_sorted,0,2975,0.7396,0.3045,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub143,ged_sorted,0,2975,0.7396,0.3042,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub148,ged_sorted,10,2985,0.7397,0.3041,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub149,ged_sorted,2,2987,0.7397,0.3044,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,ged_sorted,0,2987,0.7397,0.3042,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub183,ged_sorted,0,2987,0.7397,0.3043,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub219,ged_sorted,2,2989,0.7396,0.3041,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,ged_sorted,0,2989,0.7396,0.3046,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,ged_sorted,0,2989,0.7396,0.3048,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,ged_sorted,0,2989,0.7396,0.3045,0.9471,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,ged_sorted,0,2989,0.7396,0.3039,0.9471,0.6842
