Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub331,,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub549,,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub938,,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,,1,1,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,,0,1,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub264,,0,1,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,,205,206,0.7015,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub322,,0,206,0.7015,0.3147,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,,2,208,0.7015,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,,0,208,0.7015,0.3143,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,,0,208,0.7015,0.3147,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,,0,208,0.7015,0.3151,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,,0,208,0.7015,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,,153,361,0.6955,0.3151,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,,2,363,0.6955,0.3163,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub465,,0,363,0.6955,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,,0,363,0.6955,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,,0,363,0.6955,0.315,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,,0,363,0.6955,0.3154,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,,0,363,0.6955,0.3145,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,,0,363,0.6955,0.316,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,,0,363,0.6955,0.3157,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,,28,391,0.6951,0.317,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub918,,0,391,0.6951,0.3157,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,,0,391,0.6951,0.3162,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,,0,391,0.6951,0.316,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,,0,391,0.6951,0.3165,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub257,,0,391,0.6951,0.3154,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub518,,1,392,0.6951,0.3155,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,,0,392,0.6951,0.3156,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,,4,396,0.6951,0.3162,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub327,,2,398,0.6952,0.3161,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub341,,0,398,0.6952,0.3154,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub148,,11,409,0.6954,0.3162,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub149,,2,411,0.6954,0.3164,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub403,,0,411,0.6954,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub183,,11,422,0.6951,0.3163,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub143,,0,422,0.6951,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub392,,0,422,0.6951,0.316,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub954,,0,422,0.6951,0.3155,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub94,,0,422,0.6951,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub948,,0,422,0.6951,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub961,,0,422,0.6951,0.3172,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub35,,62,484,0.698,0.3169,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub22,,905,1389,0.698,0.3044,0.9505,0.6842
sepsis,REPAIR,repaired_incremental_Sub16,,489,1878,0.7131,0.3005,0.9498,0.6842
sepsis,REPAIR,repaired_incremental_Sub9,,186,2064,0.7132,0.2998,0.949,0.6842
sepsis,REPAIR,repaired_incremental_Sub925,,0,2064,0.7132,0.2998,0.949,0.6842
sepsis,REPAIR,repaired_incremental_Sub80,,135,2199,0.7184,0.3026,0.9495,0.6842
sepsis,REPAIR,repaired_incremental_Sub62,,128,2327,0.7184,0.2982,0.9494,0.6842
sepsis,REPAIR,repaired_incremental_Sub219,,2,2329,0.7184,0.2984,0.9494,0.6842
sepsis,REPAIR,repaired_incremental_Sub106,,18,2347,0.7185,0.2999,0.9494,0.6842
sepsis,REPAIR,repaired_incremental_Sub72,,303,2650,0.7204,0.3111,0.9494,0.6842
sepsis,REPAIR,repaired_incremental_Sub123,,3,2653,0.7203,0.3116,0.9494,0.6842
sepsis,REPAIR,repaired_incremental_Sub14,,501,3154,0.7188,0.3043,0.9467,0.6842
