Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub331,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub549,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3072,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub938,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,similarity_sorted+ged_sorted+freq_sorted,1,1,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,similarity_sorted+ged_sorted+freq_sorted,0,1,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub264,similarity_sorted+ged_sorted+freq_sorted,0,1,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,similarity_sorted+ged_sorted+freq_sorted,205,206,0.7015,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub322,similarity_sorted+ged_sorted+freq_sorted,0,206,0.7015,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,similarity_sorted+ged_sorted+freq_sorted,2,208,0.7015,0.3147,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,similarity_sorted+ged_sorted+freq_sorted,0,208,0.7015,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,similarity_sorted+ged_sorted+freq_sorted,0,208,0.7015,0.3158,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,similarity_sorted+ged_sorted+freq_sorted,0,208,0.7015,0.3151,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,similarity_sorted+ged_sorted+freq_sorted,0,208,0.7015,0.315,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,similarity_sorted+ged_sorted+freq_sorted,153,361,0.6955,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,similarity_sorted+ged_sorted+freq_sorted,2,363,0.6955,0.3143,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub465,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.315,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3158,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3149,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,similarity_sorted+ged_sorted+freq_sorted,0,363,0.6955,0.3162,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub52,similarity_sorted+ged_sorted+freq_sorted,28,391,0.6951,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub918,similarity_sorted+ged_sorted+freq_sorted,0,391,0.6951,0.316,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub281,similarity_sorted+ged_sorted+freq_sorted,0,391,0.6951,0.3159,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub166,similarity_sorted+ged_sorted+freq_sorted,0,391,0.6951,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub353,similarity_sorted+ged_sorted+freq_sorted,0,391,0.6951,0.3155,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub257,similarity_sorted+ged_sorted+freq_sorted,0,391,0.6951,0.3158,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub518,similarity_sorted+ged_sorted+freq_sorted,1,392,0.6951,0.3165,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub120,similarity_sorted+ged_sorted+freq_sorted,0,392,0.6951,0.3162,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub512,similarity_sorted+ged_sorted+freq_sorted,4,396,0.6951,0.3161,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub327,similarity_sorted+ged_sorted+freq_sorted,2,398,0.6952,0.3161,0.9518,0.6842
