Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub331,similarity_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub549,similarity_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub938,similarity_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub953,similarity_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub222,similarity_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub261,similarity_sorted,1,1,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub405,similarity_sorted,0,1,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub264,similarity_sorted,0,1,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub7,similarity_sorted,206,207,0.7017,0.3144,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub322,similarity_sorted,0,207,0.7017,0.3154,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub212,similarity_sorted,2,209,0.7017,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub308,similarity_sorted,0,209,0.7017,0.3154,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub131,similarity_sorted,0,209,0.7017,0.3148,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub435,similarity_sorted,0,209,0.7017,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub947,similarity_sorted,0,209,0.7017,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub31,similarity_sorted,157,366,0.6963,0.3147,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub265,similarity_sorted,2,368,0.6963,0.3138,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub465,similarity_sorted,0,368,0.6963,0.3145,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub500,similarity_sorted,3,371,0.6962,0.3144,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub499,similarity_sorted,0,371,0.6962,0.3141,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub312,similarity_sorted,0,371,0.6962,0.3133,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub513,similarity_sorted,0,371,0.6962,0.3138,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub507,similarity_sorted,0,371,0.6962,0.3143,0.9518,0.6842
sepsis,REPAIR,repaired_incremental_Sub395,similarity_sorted,0,371,0.6962,0.3139,0.9518,0.6842
