Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub22,,905,905,0.7074,0.2958,0.9505,0.6842
sepsis,REPAIR,repaired_isolated_Sub14,,501,501,0.7158,0.3006,0.949,0.6842
sepsis,REPAIR,repaired_isolated_Sub16,,489,489,0.7217,0.3071,0.9511,0.6842
sepsis,REPAIR,repaired_isolated_Sub9,,318,318,0.719,0.3082,0.9513,0.6842
sepsis,REPAIR,repaired_isolated_Sub72,,306,306,0.7103,0.3141,0.9513,0.6842
sepsis,REPAIR,repaired_isolated_Sub222,,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub7,,205,205,0.7016,0.3152,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub42,,184,184,0.7235,0.3125,0.952,0.6842
sepsis,REPAIR,repaired_isolated_Sub106,,20,20,0.7076,0.3102,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub31,,154,154,0.7012,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub80,,135,135,0.7123,0.3097,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub62,,129,129,0.7074,0.3046,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub512,,8,8,0.7075,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub60,,87,87,0.7074,0.309,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub39,,74,74,0.7053,0.3054,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub35,,62,62,0.7103,0.3092,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub183,,17,17,0.7069,0.3087,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub149,,2,2,0.7074,0.3089,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub219,,43,43,0.7052,0.3051,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub518,,1,1,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub212,,2,2,0.7073,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub500,,0,0,0.7074,0.3071,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub52,,37,37,0.7067,0.307,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub120,,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub148,,13,13,0.7076,0.3075,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub513,,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub353,,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub261,,1,1,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub507,,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub312,,0,0,0.7074,0.3083,0.9518,0.6842
