Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub953,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub405,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub308,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3085,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub131,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub435,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub947,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub31,ged_sorted+similarity_sorted+freq_sorted,154,154,0.7012,0.3088,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub265,ged_sorted+similarity_sorted+freq_sorted,2,2,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub500,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub499,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub312,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub395,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub52,ged_sorted+similarity_sorted+freq_sorted,37,37,0.7067,0.3072,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub281,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub166,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub353,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub120,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub512,ged_sorted+similarity_sorted+freq_sorted,8,8,0.7075,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub327,ged_sorted+similarity_sorted+freq_sorted,2,2,0.7075,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub341,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub148,ged_sorted+similarity_sorted+freq_sorted,13,13,0.7076,0.3081,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub149,ged_sorted+similarity_sorted+freq_sorted,2,2,0.7074,0.3086,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub403,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub183,ged_sorted+similarity_sorted+freq_sorted,17,17,0.7069,0.3086,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub143,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3085,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub392,ged_sorted+similarity_sorted+freq_sorted,0,0,0.7074,0.3077,0.9518,0.6842
