Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,BASELINE,original,N/A,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub331,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub549,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub938,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3077,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub953,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub222,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub261,similarity_sorted+ged_sorted+freq_sorted,1,1,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub405,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub264,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub7,similarity_sorted+ged_sorted+freq_sorted,205,205,0.7016,0.3153,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub322,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub212,similarity_sorted+ged_sorted+freq_sorted,2,2,0.7073,0.3076,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub308,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub131,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub435,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3086,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub947,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3074,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub31,similarity_sorted+ged_sorted+freq_sorted,154,154,0.7012,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub265,similarity_sorted+ged_sorted+freq_sorted,2,2,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub465,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub500,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub499,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub312,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3087,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub513,similarity_sorted+ged_sorted+freq_sorted,0,0,0.7074,0.3078,0.9518,0.6842
