Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
testBank,BASELINE,original,N/A,0,0,0.8512,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_incremental_Sub2,freq_sorted+ged_sorted+similarity_sorted,473,473,0.8814,0.9223,0.9676,0.7576
testBank,REPAIR,repaired_incremental_Sub105,freq_sorted+ged_sorted+similarity_sorted,332,805,0.8615,0.9223,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub63,freq_sorted+ged_sorted+similarity_sorted,201,1006,0.8575,0.9226,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub4,freq_sorted+ged_sorted+similarity_sorted,155,1161,0.8619,0.9225,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub48,freq_sorted+ged_sorted+similarity_sorted,132,1293,0.8542,0.9241,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub17,freq_sorted+ged_sorted+similarity_sorted,115,1408,0.8575,0.9206,0.9679,0.7576
testBank,REPAIR,repaired_incremental_Sub8,freq_sorted+ged_sorted+similarity_sorted,105,1513,0.8659,0.9189,0.9683,0.7576
testBank,REPAIR,repaired_incremental_Sub18,freq_sorted+ged_sorted+similarity_sorted,111,1624,0.8611,0.9182,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub22,freq_sorted+ged_sorted+similarity_sorted,88,1712,0.8669,0.918,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub29,freq_sorted+ged_sorted+similarity_sorted,2,1714,0.8668,0.9183,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub20,freq_sorted+ged_sorted+similarity_sorted,0,1714,0.8668,0.9179,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub26,freq_sorted+ged_sorted+similarity_sorted,58,1772,0.8643,0.9181,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub33,freq_sorted+ged_sorted+similarity_sorted,0,1772,0.8643,0.9181,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub21,freq_sorted+ged_sorted+similarity_sorted,52,1824,0.8628,0.9181,0.9684,0.7576
testBank,REPAIR,repaired_incremental_Sub31,freq_sorted+ged_sorted+similarity_sorted,49,1873,0.8689,0.9165,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub54,freq_sorted+ged_sorted+similarity_sorted,0,1873,0.8689,0.9165,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub71,freq_sorted+ged_sorted+similarity_sorted,0,1873,0.8689,0.9165,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub90,freq_sorted+ged_sorted+similarity_sorted,0,1873,0.8689,0.9166,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub44,freq_sorted+ged_sorted+similarity_sorted,26,1899,0.8672,0.9166,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub66,freq_sorted+ged_sorted+similarity_sorted,0,1899,0.8672,0.9165,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub53,freq_sorted+ged_sorted+similarity_sorted,22,1921,0.8683,0.9167,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub85,freq_sorted+ged_sorted+similarity_sorted,22,1943,0.8666,0.9164,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub49,freq_sorted+ged_sorted+similarity_sorted,21,1964,0.8635,0.9169,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub62,freq_sorted+ged_sorted+similarity_sorted,0,1964,0.8635,0.9167,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub58,freq_sorted+ged_sorted+similarity_sorted,0,1964,0.8635,0.9166,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub60,freq_sorted+ged_sorted+similarity_sorted,0,1964,0.8635,0.9166,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub43,freq_sorted+ged_sorted+similarity_sorted,14,1978,0.8632,0.9165,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub64,freq_sorted+ged_sorted+similarity_sorted,0,1978,0.8632,0.9166,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub111,freq_sorted+ged_sorted+similarity_sorted,1,1979,0.8632,0.9167,0.9686,0.7576
testBank,REPAIR,repaired_incremental_Sub46,freq_sorted+ged_sorted+similarity_sorted,10,1989,0.863,0.9168,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub51,freq_sorted+ged_sorted+similarity_sorted,12,2001,0.8618,0.9166,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub106,freq_sorted+ged_sorted+similarity_sorted,0,2001,0.8618,0.9168,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub70,freq_sorted+ged_sorted+similarity_sorted,12,2013,0.86,0.917,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub143,freq_sorted+ged_sorted+similarity_sorted,0,2013,0.86,0.9166,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub73,freq_sorted+ged_sorted+similarity_sorted,0,2013,0.86,0.9171,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub72,freq_sorted+ged_sorted+similarity_sorted,0,2013,0.86,0.9166,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub75,freq_sorted+ged_sorted+similarity_sorted,13,2026,0.8597,0.9168,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub123,freq_sorted+ged_sorted+similarity_sorted,0,2026,0.8597,0.917,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub57,freq_sorted+ged_sorted+similarity_sorted,9,2035,0.8596,0.9168,0.9687,0.7576
testBank,REPAIR,repaired_incremental_Sub56,freq_sorted+ged_sorted+similarity_sorted,10,2045,0.8593,0.9173,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub145,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub78,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.9171,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub82,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.917,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub80,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub142,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub146,freq_sorted+ged_sorted+similarity_sorted,0,2045,0.8593,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub96,freq_sorted+ged_sorted+similarity_sorted,7,2052,0.8593,0.9175,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub97,freq_sorted+ged_sorted+similarity_sorted,0,2052,0.8593,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub99,freq_sorted+ged_sorted+similarity_sorted,6,2058,0.8591,0.917,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub77,freq_sorted+ged_sorted+similarity_sorted,0,2058,0.8591,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub126,freq_sorted+ged_sorted+similarity_sorted,9,2067,0.8589,0.9171,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub144,freq_sorted+ged_sorted+similarity_sorted,0,2067,0.8589,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub104,freq_sorted+ged_sorted+similarity_sorted,0,2067,0.8589,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub102,freq_sorted+ged_sorted+similarity_sorted,0,2067,0.8589,0.9167,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub103,freq_sorted+ged_sorted+similarity_sorted,7,2074,0.8587,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub110,freq_sorted+ged_sorted+similarity_sorted,0,2074,0.8587,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub91,freq_sorted+ged_sorted+similarity_sorted,0,2074,0.8587,0.9166,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub120,freq_sorted+ged_sorted+similarity_sorted,0,2074,0.8587,0.9171,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub121,freq_sorted+ged_sorted+similarity_sorted,3,2077,0.8584,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub151,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub125,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub124,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.917,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub112,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9167,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub139,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9171,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub140,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9172,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub138,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub130,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub141,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9172,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub129,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9168,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub131,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.9169,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub137,freq_sorted+ged_sorted+similarity_sorted,0,2077,0.8584,0.917,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub152,freq_sorted+ged_sorted+similarity_sorted,3,2080,0.8582,0.9172,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub149,freq_sorted+ged_sorted+similarity_sorted,0,2080,0.8582,0.9172,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub150,freq_sorted+ged_sorted+similarity_sorted,3,2083,0.8577,0.9174,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub117,freq_sorted+ged_sorted+similarity_sorted,0,2083,0.8577,0.9173,0.9688,0.7576
testBank,REPAIR,repaired_incremental_Sub132,freq_sorted+ged_sorted+similarity_sorted,0,2083,0.8577,0.9176,0.9688,0.7576
