Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
testBank,BASELINE,original,N/A,0,0,0.8512,0.922,0.9676,0.7576
testBank,REPAIR,repaired_incremental_Sub2,freq_sorted+ged_sorted+similarity_sorted,89,89,0.8542,0.9227,0.9676,0.7576
testBank,REPAIR,repaired_incremental_Sub105,freq_sorted+ged_sorted+similarity_sorted,277,366,0.8382,0.9224,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub63,freq_sorted+ged_sorted+similarity_sorted,177,543,0.8358,0.9227,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub4,freq_sorted+ged_sorted+similarity_sorted,0,543,0.8358,0.9228,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub48,freq_sorted+ged_sorted+similarity_sorted,18,561,0.8353,0.9229,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub17,freq_sorted+ged_sorted+similarity_sorted,0,561,0.8353,0.9228,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub8,freq_sorted+ged_sorted+similarity_sorted,0,561,0.8353,0.9227,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub18,freq_sorted+ged_sorted+similarity_sorted,111,672,0.8271,0.9232,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub22,freq_sorted+ged_sorted+similarity_sorted,0,672,0.8271,0.9229,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub29,freq_sorted+ged_sorted+similarity_sorted,0,672,0.8271,0.9231,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub20,freq_sorted+ged_sorted+similarity_sorted,0,672,0.8271,0.9232,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub26,freq_sorted+ged_sorted+similarity_sorted,0,672,0.8271,0.9231,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub33,freq_sorted+ged_sorted+similarity_sorted,0,672,0.8271,0.9232,0.9678,0.7576
testBank,REPAIR,repaired_incremental_Sub21,freq_sorted+ged_sorted+similarity_sorted,6,678,0.8265,0.9231,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub31,freq_sorted+ged_sorted+similarity_sorted,0,678,0.8265,0.923,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub54,freq_sorted+ged_sorted+similarity_sorted,0,678,0.8265,0.923,0.9677,0.7576
testBank,REPAIR,repaired_incremental_Sub71,freq_sorted+ged_sorted+similarity_sorted,6,684,0.8268,0.9232,0.9678,0.7576
