Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
testBank,BASELINE,original,N/A,0,0,0.8512,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub2,freq_sorted+ged_sorted+similarity_sorted,473,473,0.8893,0.9223,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub105,freq_sorted+ged_sorted+similarity_sorted,332,332,0.8322,0.922,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub63,freq_sorted+ged_sorted+similarity_sorted,201,201,0.8484,0.922,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub4,freq_sorted+ged_sorted+similarity_sorted,155,155,0.8559,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub48,freq_sorted+ged_sorted+similarity_sorted,132,132,0.8533,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub17,freq_sorted+ged_sorted+similarity_sorted,115,115,0.8545,0.9185,0.9678,0.7576
testBank,REPAIR,repaired_isolated_Sub8,freq_sorted+ged_sorted+similarity_sorted,105,105,0.8596,0.9198,0.968,0.7576
testBank,REPAIR,repaired_isolated_Sub18,freq_sorted+ged_sorted+similarity_sorted,111,111,0.8464,0.922,0.9678,0.7576
testBank,REPAIR,repaired_isolated_Sub22,freq_sorted+ged_sorted+similarity_sorted,88,88,0.8576,0.9222,0.9676,0.7576
