Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
testBank,REPAIR,repaired_isolated_Sub2,freq_sorted+ged_sorted+similarity_sorted,473,473,0.8893,0.9216,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub105,freq_sorted+ged_sorted+similarity_sorted,332,332,0.8322,0.9218,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub63,freq_sorted+ged_sorted+similarity_sorted,201,201,0.8484,0.922,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub4,freq_sorted+ged_sorted+similarity_sorted,155,155,0.8552,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub48,freq_sorted+ged_sorted+similarity_sorted,132,132,0.8421,0.923,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub17,freq_sorted+ged_sorted+similarity_sorted,115,115,0.8545,0.9186,0.9678,0.7576
testBank,REPAIR,repaired_isolated_Sub8,freq_sorted+ged_sorted+similarity_sorted,105,105,0.8596,0.9197,0.968,0.7576
testBank,REPAIR,repaired_isolated_Sub18,freq_sorted+ged_sorted+similarity_sorted,111,111,0.8463,0.9222,0.9679,0.7576
testBank,REPAIR,repaired_isolated_Sub22,freq_sorted+ged_sorted+similarity_sorted,88,88,0.8576,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub29,freq_sorted+ged_sorted+similarity_sorted,70,70,0.8562,0.9222,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub20,freq_sorted+ged_sorted+similarity_sorted,57,57,0.8463,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub26,freq_sorted+ged_sorted+similarity_sorted,58,58,0.8512,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub33,freq_sorted+ged_sorted+similarity_sorted,59,59,0.8426,0.9187,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub21,freq_sorted+ged_sorted+similarity_sorted,52,52,0.8438,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub31,freq_sorted+ged_sorted+similarity_sorted,51,51,0.8576,0.9206,0.9679,0.7576
testBank,REPAIR,repaired_isolated_Sub54,freq_sorted+ged_sorted+similarity_sorted,39,39,0.8443,0.9207,0.9674,0.7576
testBank,REPAIR,repaired_isolated_Sub71,freq_sorted+ged_sorted+similarity_sorted,32,32,0.8548,0.922,0.9678,0.7576
testBank,REPAIR,repaired_isolated_Sub90,freq_sorted+ged_sorted+similarity_sorted,27,27,0.8542,0.9213,0.9678,0.7576
testBank,REPAIR,repaired_isolated_Sub44,freq_sorted+ged_sorted+similarity_sorted,26,26,0.8497,0.9227,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub66,freq_sorted+ged_sorted+similarity_sorted,22,22,0.8509,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub53,freq_sorted+ged_sorted+similarity_sorted,22,22,0.8512,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub85,freq_sorted+ged_sorted+similarity_sorted,22,22,0.8509,0.9223,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub49,freq_sorted+ged_sorted+similarity_sorted,21,21,0.8495,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub62,freq_sorted+ged_sorted+similarity_sorted,17,17,0.8494,0.92,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub58,freq_sorted+ged_sorted+similarity_sorted,21,21,0.847,0.9213,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub60,freq_sorted+ged_sorted+similarity_sorted,16,16,0.848,0.9212,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub43,freq_sorted+ged_sorted+similarity_sorted,15,15,0.8512,0.9215,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub64,freq_sorted+ged_sorted+similarity_sorted,16,16,0.8499,0.9217,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub111,freq_sorted+ged_sorted+similarity_sorted,14,14,0.8503,0.9219,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub46,freq_sorted+ged_sorted+similarity_sorted,11,11,0.8512,0.9221,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub51,freq_sorted+ged_sorted+similarity_sorted,12,12,0.8502,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub70,freq_sorted+ged_sorted+similarity_sorted,12,12,0.85,0.9221,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub143,freq_sorted+ged_sorted+similarity_sorted,11,11,0.8505,0.9213,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub73,freq_sorted+ged_sorted+similarity_sorted,13,13,0.85,0.9207,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub106,freq_sorted+ged_sorted+similarity_sorted,11,11,0.8505,0.9222,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub72,freq_sorted+ged_sorted+similarity_sorted,12,12,0.8507,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub75,freq_sorted+ged_sorted+similarity_sorted,13,13,0.8503,0.9224,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub123,freq_sorted+ged_sorted+similarity_sorted,9,9,0.8506,0.9223,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub57,freq_sorted+ged_sorted+similarity_sorted,9,9,0.8512,0.9218,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub56,freq_sorted+ged_sorted+similarity_sorted,10,10,0.8511,0.9221,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub145,freq_sorted+ged_sorted+similarity_sorted,13,13,0.8534,0.9219,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub78,freq_sorted+ged_sorted+similarity_sorted,13,13,0.8492,0.9218,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub82,freq_sorted+ged_sorted+similarity_sorted,10,10,0.8517,0.922,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub80,freq_sorted+ged_sorted+similarity_sorted,11,11,0.8503,0.9215,0.9676,0.7576
testBank,REPAIR,repaired_isolated_Sub142,freq_sorted+ged_sorted+similarity_sorted,10,10,0.8522,0.9219,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub146,freq_sorted+ged_sorted+similarity_sorted,10,10,0.8528,0.922,0.9677,0.7576
testBank,REPAIR,repaired_isolated_Sub96,freq_sorted+ged_sorted+similarity_sorted,7,7,0.8513,0.9218,0.9677,0.7576
