Anomaly_ID,Num_Traces,Pct_Improved,Pct_Worsened,Pct_Unchanged,Mean_Delta,Variance_Delta
Sub106,21,4.76,38.1,57.14,-0.010428571428571428,0.00041748414285714287
Sub123,3,0.0,0.0,100.0,0.0,0.0
Sub14,501,0.0,8.58,91.42,-0.0040636726546906185,0.00020303083768463077
Sub148,13,0.0,100.0,0.0,-0.04608461538461539,0.0002820447435897435
Sub149,2,0.0,50.0,50.0,-0.00735,0.000108045
Sub16,490,54.69,1.02,44.29,0.030591836734693876,0.001166643123408873
Sub183,17,5.88,58.82,35.29,-0.019335294117647058,0.0006060574264705884
Sub212,2,0.0,0.0,100.0,0.0,0.0
Sub219,43,0.0,100.0,0.0,-0.05313023255813953,0.00036727168327796233
Sub22,905,0.0,84.97,15.03,-0.04597944751381215,0.0006553467010218549
Sub261,1,0.0,100.0,0.0,-0.0303,
Sub265,2,0.0,0.0,100.0,0.0,0.0
Sub31,157,0.0,71.34,28.66,-0.04487006369426751,0.0014222501878164298
Sub327,2,0.0,100.0,0.0,-0.040999999999999995,1.2499999999999989e-05
Sub35,62,85.48,1.61,12.9,0.04918225806451613,0.0008329123030142782
Sub39,74,0.0,0.0,100.0,0.0,0.0
Sub42,184,100.0,0.0,0.0,0.09171847826086955,0.0003114042468519839
Sub500,3,0.0,100.0,0.0,-0.059500000000000004,0.0007539099999999999
Sub512,8,87.5,0.0,12.5,0.01945,0.0001429771428571429
Sub518,1,0.0,0.0,100.0,0.0,
Sub52,37,2.7,45.95,51.35,-0.018294594594594593,0.0007039433033033032
Sub60,87,0.0,100.0,0.0,-0.06863333333333332,8.184875968992252e-05
Sub62,129,0.0,0.0,100.0,0.0,0.0
Sub7,206,0.0,4.37,95.63,-0.001625242718446602,7.436804262372721e-05
Sub72,308,0.97,85.71,13.31,-0.05320974025974026,0.0013701919569355727
Sub80,135,0.0,0.0,100.0,0.0,0.0
Sub9,318,27.67,12.89,59.43,0.006635534591194969,0.0007765481023946987
